date,quantity
2015-01-05 06:00:00+00:00,1
2015-01-19 22:00:00+00:00,2
2015-01-20 08:00:00+00:00,3
2015-01-20 12:00:00+00:00,1
2015-02-04 08:30:00+00:00,0
2015-02-04 09:15:00+00:00,2
2015-02-04 09:45:00+00:00,3
2015-02-04 11:00:00+00:00,1
2015-02-16 07:00:00+00:00,0
2015-02-19 22:00:00+00:00,2
2015-02-20 08:00:00+00:00,3
2015-02-20 12:00:00+00:00,1
2015-03-09 07:00:00+00:00,0
2015-03-26 02:00:00+00:00,2
2015-03-27 12:00:00+00:00,3
2015-03-27 16:00:00+00:00,1
2015-04-08 06:00:00+00:00,0
2015-04-09 21:00:00+00:00,2
2015-04-10 07:00:00+00:00,3
2015-04-10 11:00:00+00:00,1
2015-04-23 06:00:00+00:00,0
2015-04-29 21:00:00+00:00,2
2015-04-30 07:00:00+00:00,3
2015-04-30 11:00:00+00:00,1
2015-05-11 06:00:00+00:00,0
2015-05-14 21:00:00+00:00,2
2015-05-15 07:00:00+00:00,3
2015-05-15 11:00:00+00:00,1
2015-05-21 08:30:00+00:00,0
2015-05-22 02:00:00+00:00,2
2015-05-22 05:00:00+00:00,3
2015-05-22 07:00:00+00:00,1
2015-06-21 22:00:00+00:00,0
2015-06-25 08:00:00+00:00,2
2015-06-25 18:00:00+00:00,3
2015-06-25 22:00:00+00:00,1
2015-07-27 06:00:00+00:00,0
2015-07-30 05:00:00+00:00,2
2015-07-30 20:00:00+00:00,3
2016-01-27 06:00:00+00:00,1
2016-01-27 13:00:00+00:00,2
2016-01-27 14:00:00+00:00,3
2016-01-27 16:00:00+00:00,1
