,prodh,elec,gram,planstop,prod
2012-12-31 23:00:00,42.300201416015625,22.7086664835612,,,
2012-12-31 23:30:00,,22.942099889119465,,,
2013-01-01 00:00:00,42.351600646972656,22.940867106119793,,,
2013-01-01 00:30:00,,22.057366689046223,,,
2013-01-01 01:00:00,43.82509994506836,21.93513361612956,,,
2013-01-01 01:30:00,,21.8267339070638,,,
2013-01-01 02:00:00,44.38309860229492,21.848966598510742,,,
2013-01-01 02:30:00,,21.61313311258952,,,
2013-01-01 03:00:00,43.053001403808594,21.56813367207845,,,
2013-01-01 03:30:00,,21.610266367594402,,,
2013-01-01 04:00:00,44.43119812011719,21.696799596150715,,,
2013-01-01 04:30:00,,21.61396598815918,,,
2013-01-01 05:00:00,44.39619827270508,21.563199996948242,,,
2013-01-01 05:30:00,,21.590866724650066,,,
2013-01-01 06:00:00,44.44049835205078,21.694334030151367,,,
2013-01-01 06:30:00,,21.601966857910156,,,
2013-01-01 07:00:00,44.48360061645508,21.620099385579426,,,
2013-01-01 07:30:00,,21.72956657409668,,,
2013-01-01 08:00:00,44.42530059814453,21.8159662882487,,,
2013-01-01 08:30:00,,21.668166478474934,,,
2013-01-01 09:00:00,44.42179870605469,21.733999888102215,,,
2013-01-01 09:30:00,,22.01183319091797,,,
2013-01-01 10:00:00,44.43669891357422,22.358266830444336,,,
2013-01-01 10:30:00,,21.71196683247884,,,
2013-01-01 11:00:00,44.395599365234375,21.69380060831706,,,
2013-01-01 11:30:00,,21.91153335571289,,,
2013-01-01 12:00:00,39.0,22.04819933573405,,,
2013-01-01 12:30:00,,21.791200637817383,,,
2013-01-01 13:00:00,44.58570098876953,21.66936683654785,,,
2013-01-01 13:30:00,,22.080066680908203,,,
2013-01-01 14:00:00,47.20270156860352,21.81286684672038,,,
2013-01-01 14:30:00,,22.144833246866863,,,
2013-01-01 15:00:00,47.5343017578125,21.756433486938477,,,
2013-01-01 15:30:00,,21.78309949239095,,,
2013-01-01 16:00:00,47.5536994934082,21.864233652750652,,,
2013-01-01 16:30:00,,22.061100006103516,,,
2013-01-01 17:00:00,47.57149887084961,22.192833582560223,,,
2013-01-01 17:30:00,,22.096033732096355,,,
2013-01-01 18:00:00,47.54859924316406,22.18269983927409,,,
2013-01-01 18:30:00,,21.804533004760742,,,
2013-01-01 19:00:00,47.5525016784668,21.816799799601238,,,
2013-01-01 19:30:00,,21.91986656188965,,,
2013-01-01 20:00:00,47.51549911499024,21.938399632771805,,,
2013-01-01 20:30:00,,22.09423319498698,,,
2013-01-01 21:00:00,47.61270141601562,22.034133911132812,,,
2013-01-01 21:30:00,,21.916266759236652,,,
2013-01-01 22:00:00,47.60139846801758,22.0301996866862,,,
2013-01-01 22:30:00,,21.93483289082845,,,
2013-01-01 23:00:00,47.56320190429688,22.208033243815105,,,
2013-01-01 23:30:00,,21.944300333658855,,,
2013-01-02 00:00:00,47.6526985168457,21.81569989522298,,,
2013-01-02 00:30:00,,22.039933522542317,,,
2013-01-02 01:00:00,47.59569931030274,21.8401673634847,,,
2013-01-02 01:30:00,,21.88046709696452,,,
2013-01-02 02:00:00,47.598899841308594,21.846099853515625,,,
2013-01-02 02:30:00,,22.045199712117512,,,
2013-01-02 03:00:00,43.16680145263672,22.296133041381836,,,
2013-01-02 03:30:00,,21.974199930826824,,,
2013-01-02 04:00:00,47.56039810180664,21.892100016276043,,,
2013-01-02 04:30:00,,21.879966735839844,,,
2013-01-02 05:00:00,47.55699920654297,22.037033716837566,,,
2013-01-02 05:30:00,,21.817066828409832,,,
2013-01-02 06:00:00,47.56790161132813,21.854466756184895,,,
2013-01-02 06:30:00,,21.949199676513672,,,
2013-01-02 07:00:00,47.55749893188477,21.783700307210285,,,
2013-01-02 07:30:00,,22.05093256632487,,,
2013-01-02 08:00:00,47.56290054321289,22.142266591389973,,,
2013-01-02 08:30:00,,22.236233393351238,,,
2013-01-02 09:00:00,47.50419998168945,22.23546600341797,,,
2013-01-02 09:30:00,,22.177733103434246,,,
2013-01-02 10:00:00,47.61259841918945,21.937366485595703,,,
2013-01-02 10:30:00,,21.900299708048504,,,
2013-01-02 11:00:00,47.523399353027344,22.00796635945638,,,
2013-01-02 11:30:00,,22.0403995513916,,,
2013-01-02 12:00:00,47.55390167236328,21.80186653137207,,,
2013-01-02 12:30:00,,21.90576680501302,,,
2013-01-02 13:00:00,47.5536003112793,21.83799997965495,,,
2013-01-02 13:30:00,,21.88219960530599,,,
2013-01-02 14:00:00,47.58689880371094,22.12860043843587,,,
2013-01-02 14:30:00,,21.834033330281574,,,
2013-01-02 15:00:00,47.6161003112793,21.846033732096355,,,
2013-01-02 15:30:00,,21.758833567301433,,,
2013-01-02 16:00:00,47.01729965209961,21.85783322652181,,,
2013-01-02 16:30:00,,21.814299901326496,,,
2013-01-02 17:00:00,47.51279830932617,21.864533106486004,,,
2013-01-02 17:30:00,,21.80589993794759,,,
2013-01-02 18:00:00,47.53160095214844,21.91236623128255,,,
2013-01-02 18:30:00,,21.94396718343099,,,
2013-01-02 19:00:00,47.50960159301758,21.878332773844402,,,
2013-01-02 19:30:00,,21.88176663716634,,,
2013-01-02 20:00:00,47.51959991455078,21.83686701456706,,,
2013-01-02 20:30:00,,22.212966283162434,,,
2013-01-02 21:00:00,47.599998474121094,21.892833073933918,,,
2013-01-02 21:30:00,,21.966166814168293,,,
2013-01-02 22:00:00,47.56179809570313,21.782100041707356,,,
2013-01-02 22:30:00,,22.050466537475586,,,
2013-01-02 23:00:00,,22.140199661254883,,,
